Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,0.9924,3.385,1.8143,0.4091,0.5529,0.3734,3.763,"(3, 4, 12)"
Decision Tree Regressor,0.9916,3.3207,1.813,0.3864,0.5627,0.3737,3.362,"(3, 4, 13)"
Decision Tree Regressor,1.0712,3.8583,1.9572,0.2995,0.6221,0.3796,3.37,"(3, 4, 15)"
Decision Tree Regressor,1.0789,3.9116,1.9499,0.2761,0.6081,0.373,3.37,"(3, 4, 16)"
Decision Tree Regressor,0.9407,3.1352,1.7576,0.4703,0.5614,0.3315,3.391,"(3, 4, 17)"
Decision Tree Regressor,1.0031,3.2257,1.7909,0.348,0.5725,0.3496,3.433,"(3, 5, 6)"
Decision Tree Regressor,1.1042,3.6008,1.8787,0.3523,0.583,0.4035,3.37,"(3, 5, 8)"
Decision Tree Regressor,1.0077,3.5781,1.8833,0.3128,0.5815,0.3532,3.364,"(3, 5, 9)"
Decision Tree Regressor,1.2116,4.3148,2.0606,0.2755,0.6297,0.3862,3.381,"(3, 5, 10)"
Decision Tree Regressor,1.027,3.3214,1.8108,0.4448,0.5627,0.3942,3.368,"(3, 5, 12)"
Decision Tree Regressor,0.9061,2.7878,1.6609,0.4522,0.5298,0.3425,3.367,"(3, 5, 13)"
Decision Tree Regressor,1.1782,4.1643,2.0205,0.237,0.6302,0.4096,3.36,"(3, 5, 15)"
Decision Tree Regressor,0.9669,2.9592,1.706,0.4107,0.5528,0.3633,3.377,"(3, 5, 16)"
Decision Tree Regressor,1.0837,3.5763,1.8596,0.3569,0.6093,0.3814,3.381,"(3, 5, 17)"
Decision Tree Regressor,1.0153,3.2996,1.8074,0.3629,0.5906,0.3729,3.459,"(3, 6, 8)"
Decision Tree Regressor,0.9338,3.0123,1.7251,0.332,0.5614,0.3313,3.351,"(3, 6, 9)"
Decision Tree Regressor,0.9345,3.143,1.7641,0.4102,0.5448,0.3224,3.388,"(3, 6, 10)"
Decision Tree Regressor,0.9242,2.996,1.7134,0.4226,0.5367,0.3664,3.366,"(3, 6, 12)"
Decision Tree Regressor,0.9426,2.8914,1.69,0.3872,0.5614,0.355,3.361,"(3, 6, 13)"
Decision Tree Regressor,0.8588,2.6573,1.6226,0.4273,0.541,0.3164,3.388,"(3, 6, 15)"
Decision Tree Regressor,0.8271,2.4437,1.5577,0.4687,0.5058,0.3459,3.366,"(3, 6, 16)"
Decision Tree Regressor,0.8735,2.6676,1.624,0.4747,0.5418,0.3455,3.363,"(3, 6, 17)"
Decision Tree Regressor,0.9735,3.1853,1.7758,0.3848,0.5682,0.3506,3.403,"(3, 8, 9)"
Decision Tree Regressor,0.9024,2.8524,1.6743,0.5136,0.5409,0.3119,3.385,"(3, 8, 10)"
Decision Tree Regressor,1.0072,3.3747,1.8307,0.4203,0.5789,0.3626,3.366,"(3, 8, 12)"
Decision Tree Regressor,1.0971,3.7754,1.9301,0.2792,0.6085,0.4151,3.378,"(3, 8, 13)"
Decision Tree Regressor,1.0445,3.47,1.8519,0.3467,0.59,0.3745,3.398,"(3, 8, 15)"
Decision Tree Regressor,0.8787,2.678,1.6285,0.4996,0.5243,0.3488,3.389,"(3, 8, 16)"
Decision Tree Regressor,0.8666,3.0315,1.7213,0.4725,0.5291,0.3068,3.543,"(3, 8, 17)"
Decision Tree Regressor,0.9914,3.3015,1.8053,0.401,0.5632,0.3653,3.365,"(3, 9, 10)"
Decision Tree Regressor,0.8997,3.0404,1.72,0.439,0.5112,0.3234,3.358,"(3, 9, 12)"
