Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,0.9485,3.123,1.7587,0.3797,0.5635,0.3408,4.213,"(3, 9, 15)"
Decision Tree Regressor,0.9434,2.9554,1.714,0.4227,0.5383,0.372,4.267,"(3, 9, 16)"
Decision Tree Regressor,1.0473,3.5661,1.8764,0.3388,0.5916,0.3691,4.257,"(3, 9, 17)"
Decision Tree Regressor,1.0834,3.7927,1.9373,0.3712,0.5945,0.4079,4.228,"(3, 10, 12)"
Decision Tree Regressor,0.9493,3.1429,1.7608,0.4235,0.5648,0.3741,4.233,"(3, 10, 13)"
Decision Tree Regressor,0.9105,2.905,1.6896,0.5073,0.5627,0.3149,4.233,"(3, 10, 15)"
Decision Tree Regressor,1.0037,3.354,1.8248,0.3929,0.5834,0.3641,4.235,"(3, 10, 16)"
Decision Tree Regressor,1.0669,3.7853,1.9374,0.3722,0.5931,0.3867,4.24,"(3, 10, 17)"
Decision Tree Regressor,1.176,4.1055,1.9971,0.2169,0.6274,0.4839,4.244,"(3, 12, 13)"
Decision Tree Regressor,0.9884,3.322,1.8083,0.4237,0.5823,0.359,4.226,"(3, 12, 15)"
Decision Tree Regressor,0.937,3.2638,1.783,0.3954,0.5498,0.3695,4.237,"(3, 12, 16)"
Decision Tree Regressor,0.9456,3.1759,1.765,0.4643,0.5578,0.3617,4.576,"(3, 12, 17)"
Decision Tree Regressor,0.914,2.969,1.6987,0.4099,0.5613,0.342,4.322,"(3, 13, 15)"
Decision Tree Regressor,0.9308,2.952,1.7145,0.3599,0.5593,0.3801,4.34,"(3, 13, 16)"
Decision Tree Regressor,0.8663,2.7706,1.6533,0.4793,0.5559,0.347,4.446,"(3, 13, 17)"
Decision Tree Regressor,0.9116,3.0549,1.7416,0.4069,0.5602,0.3448,4.463,"(3, 15, 16)"
Decision Tree Regressor,0.9645,3.2415,1.7833,0.4345,0.5753,0.3236,4.326,"(3, 15, 17)"
Decision Tree Regressor,0.7537,2.098,1.4393,0.6233,0.489,0.2842,4.293,"(3, 16, 17)"
Decision Tree Regressor,0.9312,2.8178,1.6669,0.5024,0.5196,0.3319,4.238,"(4, 5, 6)"
Decision Tree Regressor,0.9569,2.9303,1.6908,0.5199,0.5432,0.3154,4.242,"(4, 5, 8)"
Decision Tree Regressor,1.0514,3.5756,1.8868,0.4154,0.5721,0.3716,4.266,"(4, 5, 9)"
Decision Tree Regressor,1.2613,4.5517,2.1213,0.287,0.6413,0.4025,4.301,"(4, 5, 10)"
Decision Tree Regressor,1.056,3.5196,1.8613,0.4463,0.5711,0.3738,4.6,"(4, 5, 12)"
Decision Tree Regressor,0.9065,3.1068,1.7504,0.4785,0.5403,0.3268,4.244,"(4, 5, 13)"
