Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,0.9277,2.9651,1.7134,0.4932,0.539,0.3547,3.232,"(1, 9, 16)"
Decision Tree Regressor,1.0282,3.6145,1.885,0.4307,0.5841,0.3486,3.257,"(1, 9, 17)"
Decision Tree Regressor,0.9993,3.4103,1.8343,0.4933,0.5652,0.309,3.266,"(1, 10, 12)"
Decision Tree Regressor,0.8034,2.4441,1.5549,0.619,0.4953,0.2894,3.27,"(1, 10, 13)"
Decision Tree Regressor,1.0041,3.371,1.82,0.4958,0.5675,0.3191,3.303,"(1, 10, 15)"
Decision Tree Regressor,1.0956,3.5576,1.8707,0.4323,0.5865,0.3974,3.282,"(1, 10, 16)"
Decision Tree Regressor,1.0964,3.9134,1.964,0.4277,0.5728,0.3684,3.275,"(1, 10, 17)"
Decision Tree Regressor,0.88,2.7255,1.64,0.5531,0.5144,0.3353,3.28,"(1, 12, 13)"
Decision Tree Regressor,0.9286,2.9266,1.6998,0.5695,0.5216,0.3371,3.267,"(1, 12, 15)"
Decision Tree Regressor,0.8161,2.3752,1.5231,0.6244,0.4736,0.3255,3.283,"(1, 12, 16)"
Decision Tree Regressor,1.1467,4.0756,2.0028,0.4063,0.5914,0.4037,3.272,"(1, 12, 17)"
Decision Tree Regressor,0.933,3.0172,1.7278,0.4949,0.5475,0.3446,3.261,"(1, 13, 15)"
Decision Tree Regressor,0.7478,2.2753,1.4939,0.6084,0.4901,0.2807,3.231,"(1, 13, 16)"
Decision Tree Regressor,0.9001,2.9419,1.7056,0.5301,0.536,0.3444,3.247,"(1, 13, 17)"
Decision Tree Regressor,0.9549,3.2224,1.7908,0.4611,0.5756,0.3004,3.249,"(1, 15, 16)"
Decision Tree Regressor,0.9952,3.4012,1.8298,0.4686,0.5628,0.3294,3.26,"(1, 15, 17)"
Decision Tree Regressor,0.8803,2.8576,1.6688,0.5392,0.5184,0.2913,3.336,"(1, 16, 17)"
Decision Tree Regressor,0.9539,3.1058,1.7526,0.4274,0.5422,0.3621,3.252,"(2, 3, 4)"
Decision Tree Regressor,0.9698,2.9881,1.7125,0.4418,0.5428,0.3684,3.269,"(2, 3, 5)"
Decision Tree Regressor,0.8976,2.8022,1.6519,0.4136,0.5394,0.3511,3.294,"(2, 3, 6)"
Decision Tree Regressor,0.9841,3.5052,1.8486,0.3638,0.5875,0.3615,3.26,"(2, 3, 8)"
Decision Tree Regressor,0.8798,2.9327,1.7033,0.4226,0.5263,0.3218,3.268,"(2, 3, 9)"
Decision Tree Regressor,0.9954,3.3145,1.8037,0.4483,0.5802,0.3763,3.24,"(2, 3, 10)"
Decision Tree Regressor,0.9188,2.906,1.6956,0.4712,0.5386,0.3546,3.287,"(2, 3, 12)"
Decision Tree Regressor,1.0026,3.752,1.9292,0.1923,0.5851,0.3922,3.305,"(2, 3, 13)"
Decision Tree Regressor,0.9022,3.2343,1.7777,0.4014,0.5496,0.324,3.264,"(2, 3, 15)"
Decision Tree Regressor,0.7435,2.0465,1.4261,0.5974,0.4841,0.299,3.255,"(2, 3, 16)"
Decision Tree Regressor,0.8942,3.1211,1.7512,0.4612,0.5366,0.326,3.225,"(2, 3, 17)"
Decision Tree Regressor,1.0045,3.3706,1.8114,0.458,0.5565,0.3423,3.318,"(2, 4, 5)"
Decision Tree Regressor,0.9828,3.2309,1.7906,0.4493,0.5594,0.3423,3.268,"(2, 4, 6)"
Decision Tree Regressor,1.2418,4.8032,2.1842,0.2363,0.6563,0.4489,3.258,"(2, 4, 8)"
Decision Tree Regressor,0.9946,3.2027,1.7797,0.4644,0.5503,0.3776,3.308,"(2, 4, 9)"
Decision Tree Regressor,1.1947,4.2704,2.0547,0.3622,0.6235,0.4167,3.276,"(2, 4, 10)"
Decision Tree Regressor,1.0613,3.769,1.9049,0.4339,0.5959,0.3937,3.268,"(2, 4, 12)"
Decision Tree Regressor,0.9152,3.0773,1.7501,0.4759,0.563,0.3379,3.245,"(2, 4, 13)"
Decision Tree Regressor,1.0534,3.7723,1.9355,0.3868,0.5743,0.3734,3.256,"(2, 4, 15)"
Decision Tree Regressor,0.9907,3.0417,1.7265,0.4928,0.5537,0.3813,3.241,"(2, 4, 16)"
Decision Tree Regressor,0.9831,3.346,1.8205,0.4764,0.5617,0.3409,3.243,"(2, 4, 17)"
Decision Tree Regressor,0.9405,2.9003,1.6886,0.4627,0.5569,0.3393,3.274,"(2, 5, 6)"
Decision Tree Regressor,0.967,3.1187,1.7534,0.5089,0.5527,0.3187,3.292,"(2, 5, 8)"
Decision Tree Regressor,1.0121,3.3257,1.8087,0.3976,0.5723,0.3446,3.251,"(2, 5, 9)"
Decision Tree Regressor,1.0962,3.5614,1.8758,0.4527,0.5899,0.3933,3.268,"(2, 5, 10)"
Decision Tree Regressor,1.1914,4.2775,2.0392,0.3212,0.6019,0.4082,3.237,"(2, 5, 12)"
Decision Tree Regressor,0.9994,3.4917,1.8529,0.3723,0.5525,0.3731,3.238,"(2, 5, 13)"
Decision Tree Regressor,1.0393,3.7253,1.9151,0.3532,0.5965,0.3435,3.254,"(2, 5, 15)"
Decision Tree Regressor,1.0568,3.5435,1.8753,0.3814,0.581,0.3591,3.283,"(2, 5, 16)"
Decision Tree Regressor,0.9762,3.2517,1.7877,0.4862,0.5436,0.3357,3.325,"(2, 5, 17)"
Decision Tree Regressor,1.0506,3.4843,1.8471,0.3774,0.5793,0.3726,3.306,"(2, 6, 8)"
